Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
CPEG423010,06/08/2015,1:00 PM,06/08/2015,4:00 PM,False,CLB109
CPEG423010,06/10/2015,1:00 PM,06/10/2015,4:00 PM,False,CLB109
CPEG423010,06/12/2015,1:00 PM,06/12/2015,4:00 PM,False,CLB109
CPEG423010,06/15/2015,1:00 PM,06/15/2015,4:00 PM,False,CLB109
CPEG423010,06/17/2015,1:00 PM,06/17/2015,4:00 PM,False,CLB109
CPEG423010,06/19/2015,1:00 PM,06/19/2015,4:00 PM,False,CLB109
CPEG423010,06/22/2015,1:00 PM,06/22/2015,4:00 PM,False,CLB109
CPEG423010,06/24/2015,1:00 PM,06/24/2015,4:00 PM,False,CLB109
CPEG423010,06/26/2015,1:00 PM,06/26/2015,4:00 PM,False,CLB109
CPEG423010,06/29/2015,1:00 PM,06/29/2015,4:00 PM,False,CLB109
CPEG423010,07/01/2015,1:00 PM,07/01/2015,4:00 PM,False,CLB109
CPEG423010,07/06/2015,1:00 PM,07/06/2015,4:00 PM,False,CLB109
CPEG423010,07/08/2015,1:00 PM,07/08/2015,4:00 PM,False,CLB109
CPEG423010,07/10/2015,1:00 PM,07/10/2015,4:00 PM,False,CLB109
ENGL312910,07/13/2015,10:00 AM,07/13/2015,11:30 AM,False,SHL105
ENGL312910,07/14/2015,10:00 AM,07/14/2015,11:30 AM,False,SHL105
ENGL312910,07/15/2015,10:00 AM,07/15/2015,11:30 AM,False,SHL105
ENGL312910,07/16/2015,10:00 AM,07/16/2015,11:30 AM,False,SHL105
ENGL312910,07/17/2015,10:00 AM,07/17/2015,11:30 AM,False,SHL105
ENGL312910,07/20/2015,10:00 AM,07/20/2015,11:30 AM,False,SHL105
ENGL312910,07/21/2015,10:00 AM,07/21/2015,11:30 AM,False,SHL105
ENGL312910,07/22/2015,10:00 AM,07/22/2015,11:30 AM,False,SHL105
ENGL312910,07/23/2015,10:00 AM,07/23/2015,11:30 AM,False,SHL105
ENGL312910,07/24/2015,10:00 AM,07/24/2015,11:30 AM,False,SHL105
ENGL312910,07/27/2015,10:00 AM,07/27/2015,11:30 AM,False,SHL105
ENGL312910,07/28/2015,10:00 AM,07/28/2015,11:30 AM,False,SHL105
ENGL312910,07/29/2015,10:00 AM,07/29/2015,11:30 AM,False,SHL105
ENGL312910,07/30/2015,10:00 AM,07/30/2015,11:30 AM,False,SHL105
ENGL312910,07/31/2015,10:00 AM,07/31/2015,11:30 AM,False,SHL105
ENGL312910,08/03/2015,10:00 AM,08/03/2015,11:30 AM,False,SHL105
ENGL312910,08/04/2015,10:00 AM,08/04/2015,11:30 AM,False,SHL105
ENGL312910,08/05/2015,10:00 AM,08/05/2015,11:30 AM,False,SHL105
ENGL312910,08/06/2015,10:00 AM,08/06/2015,11:30 AM,False,SHL105
ENGL312910,08/07/2015,10:00 AM,08/07/2015,11:30 AM,False,SHL105
ENGL312910,08/10/2015,10:00 AM,08/10/2015,11:30 AM,False,SHL105
ENGL312910,08/11/2015,10:00 AM,08/11/2015,11:30 AM,False,SHL105
ENGL312910,08/12/2015,10:00 AM,08/12/2015,11:30 AM,False,SHL105
ENGL312910,08/13/2015,10:00 AM,08/13/2015,11:30 AM,False,SHL105
Independence Day,07/03/2015,12:00 AM,07/03/2015,11:59 PM,True, 
